,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
2881,0,2,3,1,0,5,1,8,2,7,6,6,13,1,10,14,6,11,2
2882,0,0,0,4,4,6,6,6,6,3,3,0,11,14,15,9,9,5,9
2883,0,0,0,4,4,6,6,6,6,3,8,9,4,9,7,15,0,8,1
2884,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,11,3,17,15
2885,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,0,9,3,16
2886,1,1,2,3,2,2,4,4,7,5,1,1,3,4,5,3,17,7,13
2887,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2888,1,1,1,0,2,2,4,4,7,5,1,1,3,4,5,11,2,17,13
2889,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2890,1,1,2,2,5,0,0,2,4,6,11,5,12,0,14,4,7,1,19
2891,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,11,3,17,0
2892,0,2,3,1,0,5,1,3,3,1,3,0,11,14,15,9,9,5,9
2893,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,18
2894,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,13,12,3,18
2895,1,1,2,2,5,0,0,2,4,6,11,5,12,0,1,7,14,18,5
2896,0,0,0,4,4,6,6,6,6,3,8,9,4,9,7,15,0,8,1
2897,1,1,2,2,5,0,0,2,4,6,11,5,12,0,14,4,7,1,19
2898,0,0,0,4,4,6,6,6,6,8,0,8,6,12,2,2,5,0,14
2899,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2900,0,0,0,4,4,6,6,6,6,3,8,9,4,9,7,15,0,8,1
2901,1,1,1,0,1,3,5,5,5,9,1,3,10,6,1,11,3,17,15
2902,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,2,5,0,14
2903,1,1,1,0,1,3,5,4,7,5,1,1,10,6,1,11,3,17,15
2904,1,1,2,2,3,1,2,0,1,4,5,10,9,13,9,13,12,6,18
2905,1,2,3,3,2,2,4,8,2,7,6,6,3,4,5,3,2,2,13
2906,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2907,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
2908,1,2,3,3,2,2,4,8,2,7,6,6,3,4,5,3,17,2,13
2909,1,1,1,0,1,4,3,1,8,0,4,4,5,5,8,16,8,15,4
2910,1,1,2,2,5,0,0,2,4,6,11,5,12,0,14,7,14,18,5
2911,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
2912,1,1,1,3,2,2,4,4,7,5,1,1,3,4,5,3,17,7,13
2913,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
2914,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,8,8,16,8
2915,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,2,5,0,14
2916,1,1,2,2,5,0,0,2,4,6,11,5,12,0,14,4,14,18,5
2917,0,0,3,1,0,5,1,3,3,1,2,12,1,2,0,5,11,10,6
2918,1,2,1,3,2,2,4,4,7,5,1,1,3,4,5,3,17,2,13
2919,0,0,0,4,4,6,6,6,6,3,8,9,4,9,7,15,0,8,1
2920,0,0,0,4,4,6,6,6,6,3,3,0,11,14,15,9,9,5,9
2921,1,1,2,2,5,0,0,2,1,6,5,5,9,13,9,6,14,18,5
2922,1,1,2,2,5,0,0,2,4,6,11,5,12,0,14,4,14,18,5
2923,1,1,1,0,1,4,3,1,8,0,4,4,5,5,8,16,8,15,4
2924,0,0,0,4,3,1,2,0,0,2,7,2,7,8,13,13,12,13,10
2925,1,1,1,0,1,3,5,5,5,9,9,3,10,6,1,11,3,17,15
2926,1,1,2,2,5,0,0,2,4,6,11,5,10,6,1,7,14,18,5
2927,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,11,3,17,15
2928,0,2,3,1,0,5,1,8,2,7,6,6,13,1,10,14,6,11,2
2929,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,8,8,16,8
2930,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
2931,1,1,1,0,1,3,5,5,5,9,9,3,0,3,8,16,16,15,4
2932,0,0,0,4,4,6,6,6,6,3,3,0,11,14,15,9,9,5,9
2933,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2934,1,1,2,2,5,0,0,2,1,4,5,7,2,10,6,6,14,14,5
2935,1,1,2,2,5,4,3,1,1,4,5,10,9,13,9,6,1,6,3
2936,0,0,3,1,0,5,1,3,3,1,2,12,1,2,0,5,11,10,6
