,indobert-base-p1,indobert-large-p1,bert-base-multilingual-uncased,fasttext,n_cluster
0,0.75,0.8,0.85,0.95,2
1,0.7,0.7666666666666667,0.7,0.8666666666666667,3
2,0.675,0.675,0.65,0.7,4
3,0.7,0.68,0.64,0.82,5
4,0.7,0.6833333333333333,0.6,0.6333333333333333,6
5,0.6714285714285714,0.6571428571428571,0.6142857142857143,0.6285714285714286,7
6,0.6,0.675,0.5625,0.5875,8
7,0.5666666666666667,0.6666666666666666,0.6222222222222222,0.6,9
8,0.56,0.56,0.59,0.61,10
9,0.5818181818181818,0.5909090909090909,0.6090909090909091,0.6090909090909091,11
10,0.5916666666666667,0.65,0.5833333333333334,0.65,12
11,0.6076923076923076,0.6307692307692307,0.6153846153846154,0.6538461538461539,13
12,0.5785714285714286,0.5928571428571429,0.6,0.6571428571428571,14
13,0.5933333333333334,0.58,0.5733333333333334,0.6333333333333333,15
14,0.5875,0.60625,0.55625,0.65,16
15,0.5647058823529412,0.611764705882353,0.5823529411764706,0.6470588235294118,17
16,0.5888888888888889,0.6277777777777778,0.5611111111111111,0.6777777777777778,18
17,0.5684210526315789,0.631578947368421,0.5368421052631579,0.6789473684210526,19
18,0.605,0.62,0.57,0.675,20
