,indobert-base-p1,indobert-large-p1,bert-base-multilingual-uncased,fasttext,n_cluster
0,-0.0039052072724348,-0.00252159084488,0.1207889714336445,-0.0188350844482797,2
1,0.0129297961852622,0.0241110479638631,0.0641859156703766,0.0428320970694464,3
2,0.0199054495309841,0.0115189238231962,0.0286569016927845,0.0867104617028561,4
3,0.0261006300122052,0.0096427753369106,0.0519785504534949,0.0389851386779036,5
4,0.0321241723131405,0.00393934864326,0.0369866000517656,0.0629748997569795,6
5,0.023623429996235,-0.0073172888896471,0.0885297732376834,0.0307279468305758,7
6,0.0373188536016388,0.0063173331557928,0.0990624462798939,0.0314461976091263,8
7,,0.0017316971254387,,0.1079822698087263,9
8,,0.007622154530724,,,10
9,,0.018697324398233,,,11
10,,0.0208662847625002,,,12
11,0.0267952955989046,0.0335105769517952,,,13
12,,0.0514861750594842,,,14
13,,0.0523143489390229,,,15
14,,0.0603220056944414,,,16
15,,0.0464767773780285,,,17
16,,0.0339253668727405,,,18
17,,0.0512848143938831,,,19
18,,0.0854170124036338,,,20
