,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
287,0,0,0,1,2,6,3,1,9,9,0,9,12,3,13,12,12,3,4
288,1,2,3,0,0,1,2,0,6,7,9,1,1,11,1,1,4,15,2
289,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
290,1,2,2,2,5,4,0,4,8,3,10,10,6,6,8,2,5,12,1
291,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
292,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
293,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
294,0,0,2,1,3,4,3,3,8,4,4,11,7,8,5,0,3,6,9
295,0,0,0,4,4,0,4,5,5,0,11,4,11,0,0,16,15,13,8
296,0,1,1,3,1,2,7,2,4,2,6,2,3,7,11,15,10,2,19
297,1,2,3,0,0,1,2,8,0,1,2,8,5,14,4,14,1,1,12
298,0,0,2,4,4,3,0,4,5,8,3,10,10,13,14,7,16,18,5
299,0,1,1,3,1,2,7,2,4,2,6,2,3,2,2,9,17,16,15
300,0,0,0,1,2,0,5,1,9,9,0,9,12,3,13,5,0,10,10
301,1,2,3,0,0,1,1,7,3,5,9,7,9,6,8,6,9,12,1
302,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
303,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
304,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
305,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,12
306,0,0,2,2,5,4,0,4,8,6,7,0,2,5,3,8,8,11,18
307,0,0,2,4,4,3,0,4,0,8,3,10,10,13,14,7,16,18,5
308,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
309,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
310,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
311,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,12
312,1,2,3,2,4,3,4,8,0,3,10,8,6,6,8,16,15,12,1
313,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,12
314,0,0,2,1,3,4,0,4,8,8,3,11,7,8,5,0,3,6,9
315,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
316,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,14,1,1,0
317,1,2,3,0,0,1,2,0,6,7,1,1,1,1,1,1,4,15,7
318,1,2,3,0,0,1,2,0,6,7,1,1,1,1,1,1,4,15,7
319,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
320,0,1,2,2,5,5,1,6,2,3,5,3,13,12,7,11,6,4,13
321,1,2,3,0,0,1,2,0,6,7,1,1,1,1,1,1,4,15,7
322,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
323,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,12
324,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
325,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
326,1,2,3,0,0,1,2,0,6,5,9,1,1,11,1,1,4,9,2
327,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
328,0,0,2,1,3,4,3,3,8,4,4,11,7,8,5,0,3,6,9
329,0,0,2,4,4,0,0,4,5,8,3,10,10,13,14,7,16,18,5
330,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
331,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
332,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
