,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
66,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
67,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
68,0,0,2,2,5,5,0,4,9,6,7,0,2,5,3,8,8,11,18
69,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
70,0,1,2,2,5,5,1,1,9,6,5,0,13,12,7,11,6,4,13
71,0,1,1,2,5,5,1,6,2,6,10,3,6,7,15,2,5,8,19
72,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
73,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
74,1,2,2,4,4,3,4,8,0,1,2,8,11,6,8,16,15,13,8
75,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
76,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
77,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
78,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
79,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
80,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
81,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
82,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
83,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,14,1,1,0
84,0,0,0,1,2,6,5,1,5,9,0,4,0,0,13,12,12,3,4
85,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,12,12,3,4
86,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
87,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
88,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
89,0,0,2,1,3,4,3,3,8,4,4,11,7,8,5,0,3,6,9
90,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,9,10,2,6
91,0,0,2,2,5,4,0,4,8,8,3,10,10,13,14,7,16,18,5
92,0,0,2,2,5,5,1,6,2,6,5,3,13,12,7,11,6,4,13
93,0,0,2,4,2,0,5,5,5,0,5,4,13,12,7,11,6,4,13
94,0,1,1,3,1,2,7,6,4,2,6,2,3,7,15,9,17,8,19
95,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,14,1,1,0
96,0,1,2,2,5,5,1,6,2,3,10,3,6,6,8,2,5,12,1
97,0,0,0,1,3,6,3,1,1,9,0,5,4,4,13,12,12,3,4
98,0,1,2,2,5,5,1,6,2,3,10,3,6,6,8,2,5,12,1
99,0,0,0,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
100,1,2,2,2,4,3,4,8,0,1,2,8,11,6,8,16,15,12,1
101,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
102,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
103,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
104,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
105,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,12,12,3,4
106,0,1,2,2,5,5,1,6,2,3,10,3,6,6,8,2,5,12,1
107,0,0,2,1,3,4,0,4,8,8,3,10,10,13,14,7,16,18,5
108,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
109,0,1,2,2,5,5,1,6,2,6,7,0,2,5,3,8,8,11,18
110,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,0
111,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
112,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
113,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
114,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
115,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
116,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
117,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
118,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
119,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
120,0,1,1,3,1,2,7,2,4,2,6,2,3,2,2,9,17,16,15
121,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,10,10
122,0,0,0,1,3,6,3,1,1,9,0,5,4,4,13,12,12,3,4
123,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
124,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
125,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,1,4,15,12
126,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
127,0,0,2,1,3,4,3,3,8,4,4,11,7,8,5,0,3,6,9
128,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
129,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
130,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
131,0,0,2,4,5,0,5,5,5,0,5,4,13,12,7,11,6,4,13
132,0,0,2,2,5,5,1,6,2,6,5,3,13,12,7,11,6,4,13
133,0,0,0,1,2,0,5,5,5,9,11,4,0,0,13,5,0,10,10
134,0,1,2,2,5,5,1,1,9,6,5,9,13,12,7,11,6,4,13
135,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
136,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
137,0,1,2,2,5,5,1,6,2,3,10,3,6,7,15,2,5,8,19
138,0,0,2,1,5,4,0,1,9,6,7,0,2,5,3,8,8,11,18
139,1,2,3,0,0,3,2,0,6,7,1,1,5,1,9,14,1,1,12
140,0,0,0,1,3,6,3,1,1,9,0,5,4,4,13,12,12,3,4
141,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
142,0,0,0,1,2,0,5,1,9,9,0,0,12,3,13,5,0,10,10
143,0,0,0,1,2,0,5,1,9,9,0,4,0,0,13,5,0,10,10
144,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
145,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
146,0,0,0,1,2,6,5,1,9,9,0,9,12,3,13,12,17,16,15
147,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
148,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
149,1,2,3,0,4,4,2,7,3,8,3,10,10,13,14,7,16,18,5
150,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,0
151,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
152,1,2,2,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
153,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
154,0,1,1,2,5,5,1,6,2,6,5,3,13,7,15,9,17,8,19
155,0,1,2,2,5,5,1,6,2,6,7,0,2,7,3,8,8,11,18
156,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
157,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
158,0,0,2,2,5,4,0,4,8,6,7,0,2,5,3,8,8,11,18
159,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
160,1,2,3,0,4,3,4,8,0,1,2,8,5,14,4,14,1,1,0
161,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
162,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
163,0,0,0,1,2,6,5,1,1,9,0,5,12,3,13,12,12,3,4
164,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
165,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
166,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
167,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
168,0,0,0,1,2,6,5,1,1,9,0,5,12,3,13,12,12,3,4
169,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,14,1,15,7
170,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
171,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
172,0,0,2,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
173,0,1,1,3,1,2,7,1,9,9,0,9,12,3,2,9,17,16,15
174,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,1,4,15,12
175,0,1,1,3,1,2,7,2,4,2,6,2,3,2,2,9,17,16,15
176,1,2,3,0,0,3,2,0,6,7,1,1,5,1,9,14,1,1,12
177,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,0
178,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
179,1,2,2,4,4,3,0,4,8,8,3,10,10,13,14,7,16,18,5
180,0,0,0,1,2,0,5,1,9,9,0,9,12,3,13,5,0,10,10
181,0,0,0,1,3,4,0,4,8,8,3,11,7,13,14,0,3,18,5
182,0,1,1,1,5,6,1,1,9,9,0,9,12,3,2,9,17,16,15
183,0,0,2,1,3,4,0,4,8,8,3,11,7,8,5,0,3,6,9
184,0,0,2,2,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
185,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
186,0,1,2,2,5,5,1,6,2,6,7,3,2,7,15,2,5,8,19
187,0,1,0,4,2,0,5,5,5,0,11,6,0,10,6,4,2,5,14
188,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,7
189,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
190,1,2,3,0,0,1,2,0,6,7,9,1,1,11,1,1,4,15,12
191,0,0,0,1,2,0,5,1,9,9,0,9,12,3,13,5,0,10,10
192,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,9,10,2,6
193,0,1,1,3,1,2,7,2,4,2,6,2,3,2,2,9,17,16,15
194,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
195,1,2,3,0,0,3,4,8,0,1,2,8,5,14,4,14,1,1,0
196,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
197,1,2,3,0,4,3,4,8,0,1,2,8,5,14,4,14,1,1,12
198,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
199,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
200,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
201,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
202,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
203,0,1,1,3,1,2,7,2,4,2,6,2,3,2,2,9,17,16,15
204,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
205,0,1,2,2,5,5,1,6,2,3,10,3,6,6,8,2,5,12,1
206,1,2,3,0,0,1,1,7,3,5,9,7,9,6,8,6,9,12,1
207,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
208,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
209,0,1,0,1,2,6,5,1,9,9,0,9,12,3,2,9,17,16,15
210,1,2,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
211,1,2,2,2,5,5,1,7,3,3,10,7,6,6,8,6,9,12,1
212,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
213,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
214,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
215,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
216,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,14,1,1,0
217,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,14,1,1,0
