,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
3073,0,1,3,4,0,5,1,0,9,10,0,9,10,5,8,10,17,4,4
3074,0,1,3,4,0,5,1,0,6,7,4,7,10,9,8,10,15,4,17
3075,0,1,3,0,0,4,7,5,6,7,4,7,10,9,8,0,1,2,18
3076,1,0,2,1,5,0,3,1,4,8,8,11,9,14,14,16,16,0,19
3077,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3078,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3079,1,0,2,1,1,6,6,6,3,2,2,5,7,4,4,15,3,15,0
3080,0,1,3,4,0,5,1,0,9,10,8,11,10,7,5,10,17,4,4
3081,1,0,2,1,5,0,3,1,4,8,5,2,13,0,0,1,0,1,15
3082,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3083,1,0,2,1,5,0,3,1,4,8,5,2,9,8,7,1,16,1,15
3084,0,1,3,4,0,5,5,8,6,7,4,7,10,9,8,10,15,6,17
3085,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,15,0
3086,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3087,0,1,3,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
3088,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,12,17,10
3089,0,1,3,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
3090,1,2,0,2,2,3,2,3,3,1,2,1,11,2,11,11,5,16,7
3091,0,1,3,4,0,5,1,0,9,10,0,11,10,14,5,10,17,4,4
3092,1,0,2,1,5,0,3,1,4,8,8,11,2,7,5,4,14,8,3
3093,0,1,1,0,0,4,7,5,5,5,4,7,0,9,8,0,15,2,17
3094,0,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3095,0,1,1,0,3,2,0,4,7,4,3,6,12,13,9,8,7,11,8
3096,0,1,3,4,5,0,1,0,4,10,8,11,2,7,5,4,17,8,4
3097,0,1,3,3,4,1,1,0,6,7,4,7,5,9,8,10,15,2,17
3098,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,15,3,15,0
3099,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,16
3100,0,1,1,0,3,2,0,4,7,4,3,6,12,13,12,8,2,7,5
3101,1,2,3,3,4,1,4,2,4,3,8,11,2,7,5,7,17,8,14
3102,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3103,0,2,0,3,4,1,4,2,1,3,8,11,2,7,5,7,14,8,14
